Entity Source IDE;Entity Source Product Name;Entity Source Manufacturer Name;Entity Source Ingredients;Entity Target IDE;Entity Target Product Name;Entity Target Manufacturer Name;Entity Target Ingredients;Classification;Similarity Score
32851;Nissin Wafer Krim Rasa Strawberry;Nissin Biscuit Indonesia, PT;;33127;Nissin Wafer Krim Rasa Pisang;Nissin Biscuit Indonesia, PT;;owl:sameAs;0.9391431556948799
32851;Nissin Wafer Krim Rasa Strawberry;Nissin Biscuit Indonesia, PT;;33153;Nissin Krekers Krim Cream Crackers ;Nissin Biscuit Indonesia, PT;;rdfs:seeAlso;0.8642978354978357
23611;John Farmer Peanut Butter Creamy 27;GUNANUSA ERAMANDIRI, PT;;22346;John Farmer Almond Pasta Mix Chunky 02;GUNANUSA ERAMANDIRI, PT;;rdfs:seeAlso;0.8643488721804513
23611;John Farmer Peanut Butter Creamy 27;GUNANUSA ERAMANDIRI, PT;;22425;John Farmer Hazelnut Pasta 05;GUNANUSA ERAMANDIRI, PT;;rdfs:seeAlso;0.8692234661889835
23611;John Farmer Peanut Butter Creamy 27;GUNANUSA ERAMANDIRI, PT;;22480;John Farmer Choco Hazelnut Pasta;GUNANUSA ERAMANDIRI, PT;;rdfs:seeAlso;0.8653602484472049
23611;John Farmer Peanut Butter Creamy 27;GUNANUSA ERAMANDIRI, PT;;22489;John Farmer Hazelnut Butter Creamy;GUNANUSA ERAMANDIRI, PT;;owl:sameAs;0.9624353483328816
23611;John Farmer Peanut Butter Creamy 27;GUNANUSA ERAMANDIRI, PT;;22568;John Farmer Almond Pasta 03;GUNANUSA ERAMANDIRI, PT;;rdfs:seeAlso;0.86194708994709
23611;John Farmer Peanut Butter Creamy 27;GUNANUSA ERAMANDIRI, PT;;23112;John Farmer Peanut Butter Chunky 07;GUNANUSA ERAMANDIRI, PT;;owl:sameAs;0.9542857142857144
23611;John Farmer Peanut Butter Creamy 27;GUNANUSA ERAMANDIRI, PT;;23562;John Farmer Peanut Butter Creamy 19;GUNANUSA ERAMANDIRI, PT;;owl:sameAs;0.9817142857142858
23611;John Farmer Peanut Butter Creamy 27;GUNANUSA ERAMANDIRI, PT;;23568;John Farmer Peanut Butter Creamy 10;GUNANUSA ERAMANDIRI, PT;;owl:sameAs;0.9817142857142858
23611;John Farmer Peanut Butter Creamy 27;GUNANUSA ERAMANDIRI, PT;;23577;John Farmer Peanut Butter Creamy 06;GUNANUSA ERAMANDIRI, PT;;owl:sameAs;0.9817142857142858
23611;John Farmer Peanut Butter Creamy 27;GUNANUSA ERAMANDIRI, PT;;23586;John Farmer Peanut Butter Creamy 02;GUNANUSA ERAMANDIRI, PT;;owl:sameAs;0.9908571428571429
21973;Isolated Soy Protein YP901Q;Shandong Yuwang Ecological Food Industry Co.,Ltd;;21967;Isolated Soy Protein YP901K;Shandong Yuwang Ecological Food Industry Co.,Ltd;;owl:sameAs;0.9881481481481482
21973;Isolated Soy Protein YP901Q;Shandong Yuwang Ecological Food Industry Co.,Ltd;;21969;Isolated Soy Protein YP901M;Shandong Yuwang Ecological Food Industry Co.,Ltd;;owl:sameAs;0.9881481481481482
21973;Isolated Soy Protein YP901Q;Shandong Yuwang Ecological Food Industry Co.,Ltd;;21970;Isolated Soy Protein YP901L;Shandong Yuwang Ecological Food Industry Co.,Ltd;;owl:sameAs;0.9881481481481482
21973;Isolated Soy Protein YP901Q;Shandong Yuwang Ecological Food Industry Co.,Ltd;;37689;Protein Soy Concentrated YP701C;Shandong Yuwang Ecological Food Industry Co.,Ltd;;rdfs:seeAlso;0.7629072082835524
21973;Isolated Soy Protein YP901Q;Shandong Yuwang Ecological Food Industry Co.,Ltd;;37690;Protein Soy Concentrated YP701F;Shandong Yuwang Ecological Food Industry Co.,Ltd;;rdfs:seeAlso;0.7629072082835524
40514;SARDINES IN OIL MAXBELL;PT GEMA ISTA RAYA;;40642;SARDINES IN OIL KHOSH;PT GEMA ISTA RAYA;;owl:sameAs;0.9132091097308488
21039;Hydrolyzed Vegetable Protein Powder HVP EB ;Baoding Way Chein Food Industrial Co.,Ltd.;;20948;Hydrolyzed Vegetable Protein Powder HVP ET ;Baoding Way Chein Food Industrial Co.,Ltd.;;owl:sameAs;0.9925581395348837
21039;Hydrolyzed Vegetable Protein Powder HVP EB ;Baoding Way Chein Food Industrial Co.,Ltd.;;21012;Hydrolyzed Vegetable Protein Powder HVP IO ;Baoding Way Chein Food Industrial Co.,Ltd.;;owl:sameAs;0.9851162790697674
33799;Original Love Juice Minuman Buah Apel Less Sugar ;HALE INTERNATIONAL, PT;;33813;Original Love Juice Minuman Buah Jeruk Favorit ;HALE INTERNATIONAL, PT;;owl:sameAs;0.9298564859659086
38869;Robust Nutmeg Oleoresin;Prasan Solutions (India) Pvt. Ltd.;;33552;Robust Garlic Oil;Prasan Solutions (India) Pvt. Ltd.;;rdfs:seeAlso;0.8620184930159354
38869;Robust Nutmeg Oleoresin;Prasan Solutions (India) Pvt. Ltd.;;38832;Robust Mace Oleoresin;Prasan Solutions (India) Pvt. Ltd.;;owl:sameAs;0.9569358178053831
38869;Robust Nutmeg Oleoresin;Prasan Solutions (India) Pvt. Ltd.;;38941;Robust Ginger Oil;Prasan Solutions (India) Pvt. Ltd.;;rdfs:seeAlso;0.8828576300085251
38869;Robust Nutmeg Oleoresin;Prasan Solutions (India) Pvt. Ltd.;;38979;Robust Pink Colour;Prasan Solutions (India) Pvt. Ltd.;;rdfs:seeAlso;0.8732643202208419
38869;Robust Nutmeg Oleoresin;Prasan Solutions (India) Pvt. Ltd.;;39072;Robust Cassia Oleoresin;Prasan Solutions (India) Pvt. Ltd.;;rdfs:seeAlso;0.8741687979539643
38869;Robust Nutmeg Oleoresin;Prasan Solutions (India) Pvt. Ltd.;;39147;Robust Yellow Paprika Oleoresin;Prasan Solutions (India) Pvt. Ltd.;;rdfs:seeAlso;0.8670095059996885
38869;Robust Nutmeg Oleoresin;Prasan Solutions (India) Pvt. Ltd.;;39266;Robust Davana Oil;Prasan Solutions (India) Pvt. Ltd.;;rdfs:seeAlso;0.8630861040068203
38869;Robust Nutmeg Oleoresin;Prasan Solutions (India) Pvt. Ltd.;;39296;Robust Purple Colour;Prasan Solutions (India) Pvt. Ltd.;;rdfs:seeAlso;0.8608198757763976
27700;Legian Lapisse Mocca;Kelinci Mas;;27104;Legian Lapisse Cranberry;Kelinci Mas;;owl:sameAs;0.9293333333333333
27700;Legian Lapisse Mocca;Kelinci Mas;;42407;Sewu Lapisse Mocca;Kelinci Mas;;rdfs:seeAlso;0.7822222222222224
24794;Kimbo Sosis Sapi Lada Hitam;MADUSARI NUSAPERDANA, PT.;;16591;Fino Sosis Sapi;MADUSARI NUSAPERDANA, PT.;;rdfs:seeAlso;0.8261728395061729
24794;Kimbo Sosis Sapi Lada Hitam;MADUSARI NUSAPERDANA, PT.;;24691;Kimbo Chatz Sosis Ikan Siap Makan Rasa Otak otak;MADUSARI NUSAPERDANA, PT.;;rdfs:seeAlso;0.8602814814814816
24794;Kimbo Sosis Sapi Lada Hitam;MADUSARI NUSAPERDANA, PT.;;24711;Kimbo Sosis Sapi dan Ayam Rasa Hot Spicy;MADUSARI NUSAPERDANA, PT.;;owl:sameAs;0.9103817663817664
24794;Kimbo Sosis Sapi Lada Hitam;MADUSARI NUSAPERDANA, PT.;;25324;Kimbo Sosis Ayam Siap Makan Rasa Hot Spicy;MADUSARI NUSAPERDANA, PT.;;rdfs:seeAlso;0.8881862433862435
24794;Kimbo Sosis Sapi Lada Hitam;MADUSARI NUSAPERDANA, PT.;;47597;Vigo Sosis Sapi Panjang isi 30;MADUSARI NUSAPERDANA, PT.;;rdfs:seeAlso;0.8044444444444445
37404;Pusan Muffin Rasa Pandan;PUSAN MANIS MULIA, PT;;37744;Pusan Muffin;PUSAN MANIS MULIA, PT;;owl:sameAs;0.9200000000000002
17029;Fortius Wafer Krim Rasa Cokelat dan Vanila Chocolate Vanilla Wafer Cream;Intim Harmonis Foods Industri, PT;;17004;Fortius Wafer Krim Rasa Cokelat dan Kacang Chocolate Peanut Wafer Cream;Intim Harmonis Foods Industri, PT;;owl:sameAs;0.9439475743348984
20718;Haldin Mangosteen Rind Glycolic Extract;Haldin Pacific Semesta,PT;;20104;Haldin Yohimbee Glycolic Extract;Haldin Pacific Semesta,PT;;rdfs:seeAlso;0.8915605658709107
20718;Haldin Mangosteen Rind Glycolic Extract;Haldin Pacific Semesta,PT;;20272;Haldin Mangosteen SD Powde;Haldin Pacific Semesta,PT;;owl:sameAs;0.9056410256410257
20718;Haldin Mangosteen Rind Glycolic Extract;Haldin Pacific Semesta,PT;;20467;Haldin Garlic Powder Extract;Haldin Pacific Semesta,PT;;rdfs:seeAlso;0.8710212454212456
9697;COCO DARK CHOCOLATE COATED CRANBERRY;NETWORK FOODS INDUSTRIES SDN BHD;;10018;COCO MILK CHOCO RICE CEREAL;NETWORK FOODS INDUSTRIES SDN BHD;;rdfs:seeAlso;0.8802576489533012
9697;COCO DARK CHOCOLATE COATED CRANBERRY;NETWORK FOODS INDUSTRIES SDN BHD;;9539;COCO DARK CHOCOLATE COATED HAZEL;NETWORK FOODS INDUSTRIES SDN BHD;;owl:sameAs;0.953888888888889
9697;COCO DARK CHOCOLATE COATED CRANBERRY;NETWORK FOODS INDUSTRIES SDN BHD;;9589;COCO DARK CHOCOLATE COATED MACADAMIA;NETWORK FOODS INDUSTRIES SDN BHD;;owl:sameAs;0.9322605363984675
9697;COCO DARK CHOCOLATE COATED CRANBERRY;NETWORK FOODS INDUSTRIES SDN BHD;;9711;COCO DARK CHOCOLATE COATED ALMOND;NETWORK FOODS INDUSTRIES SDN BHD;;owl:sameAs;0.9494949494949496
20430;Haldin Temu Giring Extract;Haldin Pacific Semesta,PT;;20060;Haldin Tamarind Liquid Extract;Haldin Pacific Semesta,PT;;owl:sameAs;0.9059442586399109
20430;Haldin Temu Giring Extract;Haldin Pacific Semesta,PT;;20269;Haldin Lerak Glycolic Extract;Haldin Pacific Semesta,PT;;rdfs:seeAlso;0.8694217506631301
20430;Haldin Temu Giring Extract;Haldin Pacific Semesta,PT;;20524;Haldin Cumin;Haldin Pacific Semesta,PT;;rdfs:seeAlso;0.8798135198135197
20430;Haldin Temu Giring Extract;Haldin Pacific Semesta,PT;;20559;Haldin Melon Liquid Extract;Haldin Pacific Semesta,PT;;owl:sameAs;0.9130277130277131
11716;Choice L Bumbu Rendang padang;PT Pristine Prima Lestari;;11338;Choice L Bumbu Ayam Goreng;PT Pristine Prima Lestari;;owl:sameAs;0.9240871871756431
11716;Choice L Bumbu Rendang padang;PT Pristine Prima Lestari;;11565;Choice L Bumbu Semur;PT Pristine Prima Lestari;;owl:sameAs;0.9003813387423936
11716;Choice L Bumbu Rendang padang;PT Pristine Prima Lestari;;11613;Choice L Bumbu Sayur Asem;PT Pristine Prima Lestari;;rdfs:seeAlso;0.8983448275862069
11716;Choice L Bumbu Rendang padang;PT Pristine Prima Lestari;;11744;Choice L Bumbu Gulai;PT Pristine Prima Lestari;;owl:sameAs;0.9003813387423936
17482;GOLDEN LOTUS Chemie ERYTHROSINE FD C RED 3 ;PT Bukit Warna Abadi;;17147;GOLDEN LOTUS Chemie D C RED 34 Ca LAKE;PT Bukit Warna Abadi;;owl:sameAs;0.9113066095471236
